¹Û²âÄê·Ý,±ê×¼ÖÜ,º¦ÇéÊýÖµ,×î¸ßÎÂ¶È(¡ãC),×îµÍÎÂ¶È(¡ãC),×î¸ßÊª¶È(%),×îµÍÊª¶È(%),½µÓêÁ¿(mm),·çËÙ(km/h),ÈÕÕÕÊ±Êý(hrs),Õô·¢Á¿(mm),º¦ÇéÀàÐÍ
1972,14,0,37.3,24.9,86.4,45.6,4.4,11.4,8.1,9.1,Ò¶ÎÁ²¡
1972,15,0,38.1,24.5,78.4,35.3,0,8.3,7.3,9.7,Ò¶ÎÁ²¡
1972,16,0,37.5,23,77.1,36.7,18.5,9.1,8.3,11.3,Ò¶ÎÁ²¡
1972,17,0,35.4,24.4,85.7,53.1,29.5,9.7,9.6,8,Ò¶ÎÁ²¡
1972,18,0,35.3,24.6,77.3,44,1.8,13.1,8,12.8,Ò¶ÎÁ²¡
1972,19,0,37.5,25.2,81.1,40.9,1,7.2,7.6,11.3,Ò¶ÎÁ²¡
1972,20,0,37.7,25.8,79.3,47.3,0,9.5,10.7,11.5,Ò¶ÎÁ²¡
1972,21,0,40.7,27.1,81.4,35.6,12.7,9.1,10.2,12.1,Ò¶ÎÁ²¡
1972,22,0,42.1,27.9,73.3,35.3,0,10.4,7.4,14.2,Ò¶ÎÁ²¡
1972,23,0,34,25.7,86.9,75,67.9,6.1,2.1,5.7,Ò¶ÎÁ²¡
1972,24,0,35.6,25.7,86.1,57.1,17.3,6.6,2.9,4.8,Ò¶ÎÁ²¡
1972,25,0,31.7,25.3,88.3,65.1,70.4,5.7,0.2,2.1,Ò¶ÎÁ²¡
1972,26,0,34.2,25,83,59,1.8,5.9,5.8,3.6,Ò¶ÎÁ²¡
1972,27,0,34.3,25,90.1,73,151.9,4.6,5.5,2.4,Ò¶ÎÁ²¡
1972,28,0,31.3,25.4,90.9,85,152.6,9.1,4.1,2.7,Ò¶ÎÁ²¡
1972,29,0,30.8,25.1,91.3,79.6,61.8,7,2,2.5,Ò¶ÎÁ²¡
1972,30,0,31.2,25,89.3,75.4,33.8,6.4,1.6,2.7,Ò¶ÎÁ²¡
1972,31,0,31.5,24.8,89.9,76.7,13.4,6,2,2.8,Ò¶ÎÁ²¡
1972,32,0,31.2,25,89.3,82,21.9,6.1,4.5,2.3,Ò¶ÎÁ²¡
1972,33,0,30.5,25,88.7,76.7,5.3,9.4,4,3.2,Ò¶ÎÁ²¡
1972,34,1,31.7,24.7,91.4,74.7,40.2,4,3.8,2.2,Ò¶ÎÁ²¡
1972,35,16,32.4,25.3,88.3,72.7,14.1,4.7,7.9,2.8,Ò¶ÎÁ²¡
1972,36,4,33,25.2,91.6,75.1,11.7,6.7,6.4,2.6,Ò¶ÎÁ²¡
1972,37,6,31.2,24.7,87.6,81.1,109,3.5,4.6,2,Ò¶ÎÁ²¡
1972,38,30,31.1,25,91.9,73.9,81.9,8.3,4.8,2.5,Ò¶ÎÁ²¡
1972,39,15,32.5,24.9,88.1,72.3,3.8,2.9,5.7,2.4,Ò¶ÎÁ²¡
1972,40,154,32.3,24.2,86.1,63.9,22.9,3.1,4.9,3,Ò¶ÎÁ²¡
1972,41,126,31.8,22.9,84.3,61,0,2.9,7.5,3.2,Ò¶ÎÁ²¡
1972,42,2047,29.5,21.1,88.9,66.7,7.8,3.4,5,2.5,Ò¶ÎÁ²¡
1972,43,151,28.7,22.5,93,92,106.9,5.7,3.7,1.6,Ò¶ÎÁ²¡
1972,44,369,29.5,20,92.3,57.6,93.5,4.9,6.2,1.7,Ò¶ÎÁ²¡
1972,45,389,29.7,16.3,82.9,38.6,0,2.1,10.2,3.9,Ò¶ÎÁ²¡
1972,46,59,30.1,15.4,85.6,40.1,0,1.6,10.2,3.5,Ò¶ÎÁ²¡
1972,47,71,29.6,15.5,95.9,48.7,0,1.4,10.1,2.9,Ò¶ÎÁ²¡
1972,48,0,28.3,14.6,90.1,39,0,2.8,8.2,4.1,Ò¶ÎÁ²¡
1972,49,0,30.5,17.9,91.6,52.7,0,2.4,8.1,3.5,Ò¶ÎÁ²¡
1972,50,0,27.8,12.3,89.3,45.6,0,2.3,9.7,3.4,Ò¶ÎÁ²¡
1972,51,0,27.4,12,91.3,42.7,0,2.4,8,3.8,Ò¶ÎÁ²¡
1972,52,0,27,11.1,91.6,36.9,0,3,9.9,4,Ò¶ÎÁ²¡
