epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
138,31680.4,0.55686,0.5769,1.18231,0.84809,0.76038,0.82601,0.64406,0.78232,0.83781,1.14592,8.9e-05,8.9e-05,8.9e-05
139,31919,0.55246,0.57364,1.1737,0.84738,0.76222,0.8266,0.64548,0.77966,0.84019,1.14348,8.6e-05,8.6e-05,8.6e-05
140,32158.1,0.55111,0.56851,1.17672,0.84671,0.76177,0.82639,0.64596,0.77738,0.84286,1.14186,8.3e-05,8.3e-05,8.3e-05
141,32412.4,0.51159,0.42206,1.09877,0.8466,0.76107,0.82576,0.64605,0.77552,0.84889,1.14072,8e-05,8e-05,8e-05
142,32663.8,0.5093,0.41997,1.09598,0.84215,0.76012,0.82585,0.64695,0.77364,0.85336,1.13967,7.7e-05,7.7e-05,7.7e-05
143,32903.6,0.50492,0.41288,1.09048,0.84163,0.76007,0.82524,0.64671,0.77181,0.8596,1.13878,7.4e-05,7.4e-05,7.4e-05
144,33143.1,0.49859,0.4082,1.08497,0.85063,0.75386,0.82439,0.64724,0.77004,0.86653,1.1379,7.1e-05,7.1e-05,7.1e-05
145,33407.8,0.49343,0.40606,1.07965,0.84256,0.75873,0.82389,0.64755,0.76825,0.87176,1.13701,6.8e-05,6.8e-05,6.8e-05
146,33647.7,0.49727,0.4037,1.08032,0.84199,0.75689,0.82284,0.64771,0.76636,0.87999,1.13629,6.5e-05,6.5e-05,6.5e-05
147,33887.6,0.48791,0.39767,1.07328,0.84023,0.7556,0.82116,0.64746,0.7644,0.88801,1.13523,6.2e-05,6.2e-05,6.2e-05
148,34152.1,0.48652,0.39888,1.0699,0.83529,0.75672,0.82032,0.64773,0.76282,0.89565,1.13451,5.9e-05,5.9e-05,5.9e-05
149,34392.3,0.48653,0.398,1.06864,0.83463,0.75394,0.81969,0.64749,0.76096,0.90405,1.13348,5.6e-05,5.6e-05,5.6e-05
150,34632,0.47887,0.39362,1.06471,0.83587,0.75189,0.81899,0.64758,0.75924,0.90899,1.13273,5.3e-05,5.3e-05,5.3e-05
